name;address_country;address_city;address_full;contact_phone;contact_fax;contact_website;juridicInfos_nature;juridicInfos_creationYear;juridicInfos_juridicForm;juridicInfos_activity;juridicInfos_capital;juridicInfos_effectif;Logo_link;products_0;products_1;products_2;products_3;dirigeants_0_name;dirigeants_0_funtion;dirigeants_1_name;dirigeants_1_funtion;dirigeants_2_name;dirigeants_2_funtion;dirigeants_3_name;dirigeants_3_funtion;dirigeants_4_name;dirigeants_4_funtion;dirigeants_5_name;dirigeants_5_funtion;dirigeants_6_name;dirigeants_6_funtion;dirigeants_7_name;dirigeants_7_funtion;partner_0_name;partner_0_type;partner_1_name;partner_1_type;partner_2_name;partner_2_type;partner_3_name;partner_3_type;partner_4_name;partner_4_type;partner_5_name;partner_5_type;partner_6_name;partner_6_type;partner_7_name;partner_7_type;partner_8_name;partner_8_type;partner_9_name;partner_9_type;partner_10_name;partner_10_type
Spraying Systems Morocco;Maroc;20290 Casablanca;"16; rue de Grenoble; bureau 1 Roches noires";+212 5 22 24 24 02;;; Siège;2010.0;S.a.r.l.;Fabrication de machines agricoles et forestières (2830);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaufrabel;Maroc;20070 Casablanca;"106; rue Abderrahmane Sahraoui; 2°ét. porte 4 city Park Business <br/> Centre";+212 5 22 45 91 50;;; Siège;2009.0;;"Fabrication de biscuits; biscottes et pâtisseries de conservation (1072)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Company of Manufacturing and Services;Maroc;20320 Casablanca;"55; rue Souleimane El Farissi; 3°ét n°7";+212 5 22 60 04 85;;; Siège;2008.0;;Fabrication de structures métalliques et de parties de structures (2511);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buhler AG Succursale Maroc;Maroc;20190 Casablanca;"298; Lot Lina ; Sidi Maarouf";+212 5 20 48 04 82;;; Siège;2011.0;S.a.r.l.;Fabrication de machines pour l'industrie agro-alimentaire (2893);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Economats du Maghreb;Maroc;20000 Casablanca;"37; rue Ibn Rochd -ex Lusitania";+212 5 22 20 57 10;;; Siège;1980.0;S.a.r.l.;Production de boissons alcooliques non distillées (1102);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comapire;Maroc;20700 Casablanca;"lotiss. Ennour; rue 20 n° 14 /16 zone d'activité artisanale";+212 5 22 59 88 38;;; Siège;1988.0;S.a.r.l.;Fabrication de machines agricoles et forestières (2830);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comptoir Africain de Matériel Agricole et Industriel;Maroc;20310 Casablanca;"28; bd d' Oujda";+212 5 22 40 70 02;;; Siège;1977.0;S.a.r.l.;Fabrication d'autres pompes et compresseurs (2813);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camsa;Maroc;21490 Casablanca;"10; rue Alim Chatatani - ex Bolante ang. rue Stockholm";+212 5 22 28 70 20;;; Siège;1951.0;S.a.r.l.;Elevage d'autres animaux (0149);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laboratoires de Produits Pharmaceutiques d'Afrique du Nord;Maroc;20150 Casablanca;"lotiss. La Colline II; California Garden; n°37 - 38";+212 5 22 54 38 38;;; Siège;1950.0;Société anonyme;Fabrication d'instruments et de fournitures à usage médical et dentaire (3250);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijac;Maroc;20090 Casablanca;"80; avenue Lalla Yacout; 4°ét.";+212 5 22 31 89 67;;; Siège;1953.0;S.a.r.l.;Autres activités manufacturières n.c.a. (3299);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté Civile Agricole Mokala;Maroc;20000 Casablanca;"10; rue El Oraibi Jilali -ex Foucauld; 4°ét.";+212 5 22 27 16 95;;; Siège;2009.0;;"Culture de légumes; de melons; de racines et de tubercules (0113)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lesieur Cristal;Maroc;20300 Casablanca;"1; rue du Caporal Corbi";+212 5 22 67 93 00;;; Siège;1941.0;Société anonyme;"Fabrication de savons; détergents et produits d'entretien (2041)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Equitec Industrie Equipement Technique pour l'Industrie;Maroc;20300 Casablanca;"9; rue Maurice Ravel; résid. Najmat Ba-Hmad; bd Bahmed; Belvédèr <br/> e";+212 5 22 40 22 60;;; Siège;1998.0;S.a.r.l.;Fabrication d'autres pompes et compresseurs (2813);;;;Pompe;Matériel de peinture et de sablage;Garniture mécanique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biscuiterie Confiserie Maghrébine;Maroc;20200 Casablanca;"49; rue Ennasrine-ex Glaieuls";+212 5 22 79 10 00;;; Siège;1995.0;S.a.r.l.;"Fabrication de biscuits; biscottes et pâtisseries de conservation (1072)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caves de Bourgogne;Maroc;20000 Casablanca;"67; rue Moussa Ibn Noussair";+212 5 22 26 76 85;;; Siège;1949.0;S.a.r.l.;Production de boissons alcooliques non distillées (1102);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cafés du Brésil;Maroc;20320 Casablanca;"45 Bis; rue Soldat Taoufik Abdelkader";+212 5 22 60 61 62;;; Siège;1945.0;S.a.r.l.;Transformation du thé et du café (1083);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kettara;Maroc;20000 Casablanca;"110; rue Moussa Ibn Noussair";+212 5 22 20 25 64;;; Siège;1979.0;S.a.r.l.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ets Hazan;Maroc;Casablanca;"16; impasse Mohamed Bahi -ex Meissonnier";+212 5 22 25 19 86;;; Siège;2011.0;Affaire personnelle;Production de boissons alcooliques non distillées (1102);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
le Médiateur pour l'Industrie de Filature et Tissage;Maroc;20620 Casablanca;"cité Sidi Bernoussi; Panorama Tranche 1; imm. F; 2°ét. n°23";+212 5 22 75 72 09;;; Siège;1997.0;S.a.r.l.;Fabrication de machines pour les industries textiles (2894);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sodecaf;Maroc;20320 Casablanca;"28; rue A. Ibn Ghazala -ex Bertrandon; bd Ibn Tachfine";+212 5 22 62 12 12;;; Siège;1988.0;Société anonyme;Transformation du thé et du café (1083);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comptoir d'Achat et de Commission;Maroc;20080 Casablanca;"61; rue Chaouia -ex Colbert";+212 5 22 20 46 89;;; Siège;1972.0;Affaire personnelle;Autres activités manufacturières n.c.a. (3299);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bottu;Maroc;20580 Casablanca;"82; allée des Casuarinas";+212 5 22 35 53 50;;; Siège;1953.0;Société anonyme;Fabrication de produits pharmaceutiques de base (2110);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté d'Exploitation des Cafés Bourneix;Maroc;20100 Casablanca;"54; rue Brahim Nakhai - ex Mont Cinto";+212 5 22 25 28 17;;; Siège;1976.0;Société anonyme;Transformation du thé et du café (1083);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté des Boissons du Maroc;Maroc;20450 Casablanca;bd Ahl Loghlam;+212 5 22 75 46 46;;; Siège;1927.0;Société anonyme;Production de boissons alcooliques non distillées (1102);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comptoir de Représentations Commerciales Bourchanin;Maroc;20590 Casablanca;"72; bd Ibn Tachfine";+212 5 22 30 75 54;;; Siège;1934.0;Société anonyme;Production de boissons alcooliques distillées (1101);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sté d'exploitation des ets Boyer;Maroc;20040 Casablanca;"103; bd Moulay Youssef";+212 5 22 27 15 71;;; Siège;1960.0;S.a.r.l.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bureau d'Etudes et de Représentations Industrielles & Commerciales;Maroc;Casablanca;"15; rue El Oraibi Jilali -ex Foucauld";+212 5 22 29 44 50;;; Siège;1971.0;Société anonyme;Fabrication de parfums et de produits pour la toilette (2042);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Distrimar;Maroc;20390 Casablanca;"rue Ahmed Kadmiri -ex Albert Samain; résid. ElManar 4";+212 5 22 98 19 65;;; Siège;1990.0;S.a.r.l.;Fabrication d'aliments homogénéisés et diététiques (1086);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Industrie d'Alimentation Animale Moderne;Maroc;20300 Casablanca;"149; bd Abdelkrim Al Khatib ex Oulad Ziane";+212 5 22 63 89 40;;; Siège;1954.0;Société anonyme;Fabrication d'aliments pour animaux de ferme (1091);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ets Ley et Fuxa;Maroc;20140 Casablanca;"41; rue El Wouroud -ex Pont à Mousson";+212 5 22 22 02 80;;; Siège;1913.0;S.a.r.l.;Nettoyage courant des bâtiments (8121);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centrale Danone;Maroc;20030 Casablanca;"191; bd Sidi Mohamed Ben Abdellah; Tour Crystal 1; niveaux 2 &amp; 3 <br/> ; Casablanca Marina";+212 5 29 00 23 63;;; Siège;1959.0;Société anonyme;Exploitation de laiteries et fabrication de fromage (1051);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franke Cffee Systems Maroc;Maroc;Casablanca;rue Mohamed Smiha ang. plce. Pierre parent;+212 6 43 33 86 56;;; Siège;1987.0;S.a.r.l.;Fabrication d'autres matériels électriques (2790);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technique Equipement Hydraulique;Maroc;20350 Casablanca;"3; lot. Sam; bd Okba Bnou Nafii";+212 5 22 63 77 81;;; Siège;2006.0;S.a.r.l.;Fabrication d'autres pompes et compresseurs (2813);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Domaines Agricoles (groupe Jamai);Maroc;Casablanca;"route d' El jadida; km 9 z.i.";+212 5 22 91 48 90;;; Siège;2008.0;;"Culture de légumes; de melons; de racines et de tubercules (0113)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazonia Food Service;Maroc;20180 Casablanca;"58; lotiss. Soufiane ; 3°ét";+212 6 61 28 80 87;;; Siège;2009.0;15;Transformation et conservation de la viande de boucherie (1011);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INAPEQ;Maroc;20220 Casablanca;"hay El Oulfa; grp. D rue 107 n°8";+212 5 22 93 04 05;;; Siège;2000.0;S.a.r.l.;Fabrication de serrures et de ferrures (2572);;;;Travaux sur bois;Outils à main et electro-portatifs;Mesure et contrôle;Energies renouvenables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Foton Motors;Maroc;Casablanca;"8; pl. de l' Istiqlal - ex Mirabeau; 6°ét.";+212 5 22 44 56 40;;; Siège;2008.0;S.a.r.l.;Fabrication de machines agricoles et forestières (2830);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ets Parienté;Maroc;20300 Casablanca;"30; rue Planquette";+212 5 22 24 12 35;;; Siège;1967.0;Affaire personnelle;Fabrication d'appareils électroménagers (2751);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Promo Pièces;Maroc;20310 Casablanca;"129; rue du Lieutenant Mahroud Mohamed";+212 5 22 40 10 04;;; Siège;1995.0;15;Fabrication de machines agricoles et forestières (2830);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pacific Trading And Building Limited;Maroc;20370 Casablanca;"54; rue Socrate; résid. Sabah; 4°ét. Maârif";+212 5 22 23 13 21;;; Siège;1994.0;S.a.r.l.;Fabrication de machines diverses d'usage général (2829);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ets Hakmi Mostafa;Maroc;20310 Casablanca;rue du Lieutenant Mahroud Mohamed ang. rue Immouzer Kandar;+212 5 22 30 95 15;;; Siège;1989.0;S.a.r.l.;"Culture de céréales (à l'exception du riz); de légumineuses et de graines oléagineuses (0111)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maintenance et Exploitation;Maroc;Casablanca;"74; rue Attarmidi";+212 5 22 25 80 30;;; Siège;1978.0;Société anonyme;Fabrication d'équipements aérauliques et frigorifiques industriels (2825);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Promotion du Commerce International et de l'Import-Export;Maroc;20070 Casablanca;"6; rue d' Oued Zem; 2°ét.";+212 5 22 27 51 14;;; Siège;1977.0;S.a.r.l.;Préparation de jus de fruits et légumes (1032);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minoterie Amgala;Maroc;20600 Casablanca;"route de Rabat (r.p. 1) km 12;5";+212 5 22 73 20 23;;; Siège;1977.0;S.a.r.l.;Travail des grains (1061);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sté des Silos Portuaires;Maroc;20270 Casablanca;"lotiss. Attaoufik ; imm. Espace Sans Pareil 5°ét.";+212 5 22 97 26 62;;; Siège;1977.0;Société anonyme;Activités de soutien aux cultures (0161);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minoterie Royale;Maroc;20280 Casablanca;"z.i. Sidi Maârouf 3 ; Oulad Haddou";+212 5 22 33 50 65;;; Siège;1973.0;Société anonyme;Travail des grains (1061);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minoterie Tria;Maroc;20600 Casablanca;"route de Rabat (r.p. 1); Km 11;500; Sidi Bernoussi";+212 5 22 73 20 10;;; Siège;1978.0;Société anonyme;Travail des grains (1061);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté Marocaine de Commercialisation de Produits et de Matériels Avicoles;Maroc;20380 Casablanca;"178; bd Yacoub El Mansour; résid. El Beida; Imm. E; appt. 31";+212 5 22 98 23 32;;; Siège;1979.0;S.a.r.l.;Commerce de gros de matériel agricole (4661);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pralinor;Maroc;20060 Casablanca;"44; rue Taha Houcine -ex Galilée";+212 5 22 26 04 77;;; Siège;1983.0;S.a.r.l.;"Fabrication de cacao; chocolat et de produits de confiserie (1082)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté Marocaine Des Ets Moulin;Maroc;200 Casablanca;"9; rue de Saint Saëns et 14 rue Allal Ben Ahmed Amkik";+212 5 22 40 67 77;;; Siège;1974.0;S.a.r.l.;Fabrication d'autres textiles techniques et industriels (1396);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté Marocaine de Production de Semences;Maroc;20320 Casablanca;"22; bd Hassan El Alaoui";+212 5 22 62 09 98;;; Siège;1948.0;Société anonyme;"Culture de céréales (à l'exception du riz); de légumineuses et de graines oléagineuses (0111)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bamfords Distribution;Maroc;20300 Casablanca;"10; rue Mohamed Radi Slaoui -ex Soissons";+212 5 22 24 21 76;;; Siège;1990.0;S.a.r.l.;Fabrication de machines agricoles et forestières (2830);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agriculturel And Trading Company;Maroc;Casablanca;"474; hay Nassim; résid. Asmae n°12";+212 5 22 91 55 95;;; Siège;1989.0;S.a.r.l.;"Culture de céréales (à l'exception du riz); de légumineuses et de graines oléagineuses (0111)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ets Khadra;Maroc;20570 Casablanca;"199; bd du Fouarat";+212 5 22 34 25 20;;; Siège;1987.0;S.a.r.l.;Fabrication de matériel de levage et de manutention (2822);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pharma Plus;Maroc;20370 Casablanca;"12; rue de l' Imam El Aouzai; bd Yaacoub ElMansour";+212 5 22 23 45 47;;; Siège;1991.0;S.a.r.l.;Fabrication de produits pharmaceutiques de base (2110);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arcade Equipement;Maroc;20000 Casablanca;"206; bd Mohammed V";+212 5 22 30 66 65;;; Siège;1991.0;S.a.r.l.;Fabrication de machines pour l'industrie agro-alimentaire (2893);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergef Maroc;Maroc;20020 Casablanca;"16; rue de Djibouti; bd Bordeaux";+212 5 22 20 30 26;;; Siège;1984.0;S.a.r.l.;Travaux de plomberie et installation de chauffage et de conditionnement d'air (4322);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slovmar;Maroc;20300 Casablanca;"49; rue de Charleville";+212 5 22 40 41 16;;; Siège;1991.0;S.a.r.l.;Fabrication d'engrenages et d'organes mécaniques de transmission (2815);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Société Générale deTuyauterie Bâtiment;Maroc;20500 Casablanca;"21 Bis; bd de la Gironde";+212 5 22 44 24 22;;; Siège;1991.0;S.a.r.l.;Fabrication d'autres articles de robinetterie (2814);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nestlé Maroc;Maroc;Casablanca;"1100; bd El Qods (Sidi Maârouf); park casanearshore; shore 10; n <br/> °401-402-502";+212 5 20 15 88 00;;; Siège;1927.0;Société anonyme;Préparation de jus de fruits et légumes (1032);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manufacture Chérifienne de Ressorts;Maroc;20310 Casablanca;"57; bd Abdelkrim Al Khatib ex Oulad Ziane";+212 5 22 30 22 22;;; Siège;1966.0;S.a.r.l.;"Fabrication d'articles en fils métalliques; de chaînes et de ressorts (2593)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Global Trading Company Morocco;Maroc;20110 Casablanca;"243; bd Mohammed V; 4°ét.";+212 5 22 30 18 10;;; Siège;1985.0;Société anonyme;Intermédiaires du commerce en produits divers (4619);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
We Can Trade;Maroc;Casablanca;"12; rue Boujemaa Sabri -ex Grébert; 1°ét. appt. n°6";+212 6 61 06 48 09;;; Siège;2012.0;15;"Culture de céréales (à l'exception du riz); de légumineuses et de graines oléagineuses (0111)";;;;Tablette;Portable;Céréales;Fauteuil dentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Le Comptoir des Fruits Secs;Maroc;20050 Casablanca;"3; rue Molière";+212 5 22 94 80 70;;; Siège;2010.0;S.a.r.l.;Transformation et conservation d'autres fruits et légumes (1039);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
la Société Marocaine des Glaces Artisanales;Maroc;20000 Casablanca;"132; avenue Hassan II";+212 5 22 27 60 75;;; Siège;2010.0;15;Fabrication de glaces et sorbets (1052);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les Moulins Bir Anzarane;Maroc;20590 Casablanca;"route Zenata; Km 11 rue I";+212 5 22 35 00 77;;; Siège;1986.0;S.a.r.l.;Travail des grains (1061);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mag-Fil;Maroc;20580 Casablanca;"26; rue Abou Zaid Hillali";+212 5 22 24 16 38;;; Siège;1994.0;S.a.r.l.;Préparation de fibres textiles et filature (1310);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Société d'Outillage et Matériel;Maroc;20300 Casablanca;"28; rue de Buzancy";+212 5 22 24 56 17;;; Siège;1981.0;S.a.r.l.;Fabrication d'autres produits minéraux non métalliques n.c.a. (2399);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Le Petit Meunier;Maroc;20500 Casablanca;"13 Bis; rue El Falline -ex Blanquefort";+212 5 22 80 39 24;;; Siège;1989.0;S.a.r.l.;Fabrication de machines pour l'industrie agro-alimentaire (2893);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
les Frigos de la Mamora;Maroc;20080 Casablanca;"20; rue Mostapha El Maani";+212 5 22 31 07 01;;; Siège;1987.0;;Promotion immobilière (4110);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forafric;Maroc;20250 Casablanca;rue Chefchaouen;+212 5 22 35 27 28;;; Siège;1947.0;Société anonyme;"Culture de céréales (à l'exception du riz); de légumineuses et de graines oléagineuses (0111)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
société des ets Bouraouine et Cie;Maroc;Casablanca;"route d' El jadida; km.11";+212 5 22 65 03 94;;; Siège;1981.0;S.a.r.l.;Fabrication de récipients métalliques pour gaz comprimés ou liquéfiés (2522);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabrique Marocaine de Pâtes et Couscous;Maroc;20290 Casablanca;"15; rue du Docteur Roux";+212 5 22 24 26 75;;; Siège;1986.0;S.a.r.l.;Travail des grains (1061);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Métallifni;Maroc;20500 Casablanca;"60; rue d' Ifni";+212 5 22 31 31 27;;; Siège;1981.0;S.a.r.l.;Fabrication d'outillage (2573);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté Anonyme des Crèmes Glacées Yasmina;Maroc;20250 Casablanca;"66; allée des Pritchardias";+212 5 22 35 25 94;;; Siège;1983.0;Société anonyme;Fabrication de glaces et sorbets (1052);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté pour l'Equipement Hydraulique et Industriel;Maroc;Casablanca;"18; rue Le Caire -ex Ali Ben Ahmed; zone indus. Aïn Sebaâ";+212 5 22 35 21 40;;; Siège;1975.0;S.a.r.l.;Fabrication de radiateurs et de chaudières pour le chauffage central (2521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabrication Industrielle de Spécialité Alimentaire;Maroc;20330 Casablanca;"54; rue Ibn Mounir - ex Estérel; bur 2";+212 6 61 62 16 46;;; Siège;1984.0;Société anonyme;Préparation de jus de fruits et légumes (1032);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frigo-Pièces;Maroc;20320 Casablanca;"12; bd Ibn Tachfine; résid. Zahra";+212 5 22 44 59 70;;; Siège;1987.0;S.a.r.l.;Fabrication d'équipements aérauliques et frigorifiques industriels (2825);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manufacture Industrielle de Froid;Maroc;20320 Casablanca;"24; chemin des Pivoines";+212 5 22 66 02 64;;; Siège;1980.0;Société anonyme;Fabrication d'équipements aérauliques et frigorifiques industriels (2825);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Serih Maghreb;Maroc;20200 Casablanca;"240; bd Ghandi; résid. Sara A";+212 5 22 39 98 16;;; Siège;1978.0;S.a.r.l.;Fabrication d'autres articles de robinetterie (2814);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sérima;Maroc;20320 Casablanca;bd Moulay Ismaïl ang. rue Maâmora;+212 5 22 40 90 71;;; Siège;1952.0;S.a.r.l.;Fabrication d'autres articles de robinetterie (2814);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté d'Exploitation des Produits Chimiques et Accessoires de Médecine et de Pharmacie;Maroc;20080 Casablanca;"65; rue Nationale";+212 5 22 22 06 12;;; Siège;1973.0;S.a.r.l.;Fabrication de parfums et de produits pour la toilette (2042);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupe des Echanges Commerciaux pour le Maroc;Maroc;20320 Casablanca;"23; rue Souleimane El Farissi";+212 5 22 61 80 26;;; Siège;1988.0;Société anonyme;Culture d'autres fruits tropicaux et subtropicaux (0123);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sté d'éngineering et d'installation de Matériel;Maroc;20000 Casablanca;"42; av des Forces Armées Royales; 6°ét.";+212 5 22 31 23 19;;; Siège;1971.0;S.a.r.l.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Société Nouvelle des produits Sesta;Maroc;20250 Casablanca;"bd Chefchaouni; Km 9;500";+212 5 22 35 58 28;;; Siège;1947.0;Société anonyme;Fabrication de condiments et assaisonnements (1084);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté Nord Africaine de Commercialisation de Matériel;Maroc;20300 Casablanca;"14; bd Ba Hmad";+212 5 22 24 97 00;;; Siège;1981.0;S.a.r.l.;Fabrication d'autres pompes et compresseurs (2813);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AlFachimie;Maroc;20270 Casablanca;"quartier des Affaires n°5 ; imm. Le Matignon 4°ét. la Colline II <br/> Sidi Maârouf";+212 5 22 32 13 11;;; Siège;1982.0;S.a.r.l.;Fabrication de pesticides et d’autres produits agrochimiques (2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mondelez Maroc;Maroc;Casablanca;"bd Chefchaouni; rte 110 rue E; q. i. Aïn Sébâa";+212 5 22 34 53 00;;; Siège;1966.0;Société anonyme;"Fabrication de biscuits; biscottes et pâtisseries de conservation (1072)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casa Froid;Maroc;20300 Casablanca;"39; rue de Sijilmassa";+212 5 22 24 48 94;;; Siège;1983.0;S.a.r.l.;Fabrication d'équipements aérauliques et frigorifiques industriels (2825);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté Anonyme Marocaine d'Instrumentation et de Régulation;Maroc;20300 Casablanca;"25; rue Maurice Ravel";+212 5 22 40 94 05;;; Siège;1979.0;S.a.r.l.;Installation électrique (4321);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
